地区名,センター,燃えるごみ,燃えないごみ,空びん,資源物
清生町２ ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
清生町３ ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
清生町４ ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
セントラル社宅 ,旧松阪市,火 金,水,20150220 20150320 20150428 20150529 20150626 20150730 20150828 20150925,20150224 20150324 20150428 20150526 20150623 20150728 20150825 20150929
外五曲町 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
田牧町,旧松阪市,火 金,月,20150210 20150310 20150409 20150514 20150609 20150710 20150814 20150911,木3
高田町 ,旧松阪市,月 木,金,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
高田団地 ,旧松阪市,月 木,金,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
高町,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
高見,旧松阪市,月 木,火,20150205 20150305 20150416 20150521 20150618 20150716 20150820 20150917,金1
宝塚町,旧松阪市,月 木,水,20150228 20150326 20150416 20150521 20150617 20150715 20150819 20150917,金2
立野町 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
立田町才田 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
田村町,旧松阪市,月 木,水,20150228 20150326 20150422 20150527 20150624 20150722 20150822 20150916,金2
田村六才,旧松阪市,月 木,水,20150228 20150326 20150422 20150527 20150624 20150722 20150822 20150916,金2
田原新町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
田原町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
田原町住宅 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
田原町みどり苑 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
築港 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150213 20150313 20150410 20150508 20150612 20150710 20150814 20150904
茅広江地区全自治会,旧松阪市,火 金,木,20150217 20150324 20150421 20150519 20150616 20150714 20150811 20150908,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901
茶与町 ,旧松阪市,火 金,水,20150227 20150327 20150424 20150526 20150623 20150724 20150818 20150929,20150224 20150324 20150428 20150526 20150623 20150728 20150825 20150929
中央町 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
長月町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
塚本町（高杉団地を含む） ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
塚本町高杉団地,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
出曲町 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
徳和（垣鼻町１区） ,旧松阪市,月 木,水,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
殿町 ,旧松阪市,火 金,木,20150224 20150331 20150430 20150529 20150630 20150730 20150825 20150922,20150224 20150324 20150428 20150526 20150623 20150728 20150825 20150929
豊原町 ,旧松阪市,月 木,金,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
豊原町みどり苑 ,旧松阪市,月 木,金,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
中町 ,旧松阪市,火 金,水,20150227 20150327 20150424 20150526 20150623 20150724 20150818 20150929,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
名古須町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
名古須西 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
南郊町雇用促進住宅 ,旧松阪市,月 木,水,20150219 20150911 20150415 20150516 20150613 20150711 20150805 20150912,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
西井村町 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
虹が丘町 ,旧松阪市,火 金,水,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901,20150213 20150313 20150410 20150508 20150612 20150710 20150814 20150904
西黒部地区全自治会 ,旧松阪市,月 木,水,20150207 20150307 20150404 20150507 20150606 20150704 20150801 20150905,20150228 20150325 20150425 20150530 20150627 20150725 20150829 20150926
西之庄町,旧松阪市,火 金,木,20150220 20150320 20150423 20150522 20150619 20150717 20150821 20150918,20150226 20150319 20150423 20150528 20150625 20150723 20150827 20150924
西林 ,旧松阪市,火 金,水,20150220 20150320 20150428 20150529 20150626 20150730 20150828 20150925,20150224 20150324 20150428 20150526 20150623 20150728 20150825 20150929
西町（西町一部を除く） ,旧松阪市,火 金,木,20150220 20150320 20150423 20150522 20150619 20150717 20150821 20150918,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
西町の一部,旧松阪市,火 金,水,20150220 20150320 20150423 20150522 20150619 20150717 20150821 20150918,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
パークタウン,旧松阪市,月 木,水,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
日丘町,旧松阪市,火 金,水,20150227 20150327 20150424 20150526 20150623 20150724 20150818 20150929,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
東町,旧松阪市,月 木,水,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
東黒部地区全自治会 ,旧松阪市,月 木,水,20150207 20150307 20150404 20150507 20150606 20150704 20150801 20150905,20150228 20150325 20150425 20150530 20150627 20150725 20150829 20150926
東松阪町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
光町,旧松阪市,月 木,水,20150228 20150326 20150416 20150521 20150617 20150715 20150819 20150917,金1
光町東,旧松阪市,月 木,水,20150228 20150326 20150416 20150521 20150617 20150715 20150819 20150917,金1
挽木町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
日野町 ,旧松阪市,火 金,水,20150227 20150327 20150424 20150526 20150623 20150724 20150818 20150929,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
平生町 ,旧松阪市,火 金,水,20150227 20150327 20150424 20150526 20150623 20150724 20150818 20150929,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
船江町 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
船江町団地北 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
船江町みどり苑 ,旧松阪市,火 金,木,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,20150226 20150319 20150423 20150528 20150625 20150723 20150827 20150924
平成町,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
部田久保町（Ａ） ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
部田久保町（Ｂ） ,旧松阪市,月 木,金,20150219 20150311 20150408 20150516 20150613 20150711 20150805 20150912,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
本町 ,旧松阪市,火 金,水,20150224 20150331 20150430 20150529 20150630 20150730 20150825 20150922,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
駅部田(上出〔一部を除く〕,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町上出の一部,旧松阪市,月 木,水,20150228 20150326 20150416 20150521 20150617 20150715 20150819 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町金剛,旧松阪市,月 木,火,20150219 20150911 20150415 20150516 20150613 20150711 20150805 20150912,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町さつき園,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町小部〔一部を除く〕,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町小部の一部 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町東出,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町東出西,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町東出東,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町土岐,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町土取第１,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町土取第２,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町万庄第1,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町万庄第２,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
駅部田町山の世古,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
曲町 ,旧松阪市,火 金,月,20150210 20150310 20150409 20150514 20150609 20150710 20150814 20150911,木3
町平尾町 ,旧松阪市,火 金,水,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
松尾地区全自治会(桜通・平成町含む） ,旧松阪市,火 金,水,20150210 20150317 20150414 20150508 20150605 20150703 20150807 20150904,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
松ヶ崎地区全自治会 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,木3
丸の内 ,旧松阪市,火 金,水,20150220 20150320 20150428 20150529 20150626 20150730 20150828 20150925,20150224 20150324 20150428 20150526 20150623 20150728 20150825 20150929
湊町 ,旧松阪市,火 金,水,20150227 20150327 20150424 20150526 20150623 20150724 20150818 20150929,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
南町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
南井村町,旧松阪市,火 金,水,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,20150227 20150327 20150424 20150522 20150626 20150731 20150828 20150925
南井村町の一部 ,旧松阪市,火 金,月,20150213 20150313 20150409 20150514 20150611 20150709 20150813 20150910,20150226 20150319 20150423 20150528 20150625 20150723 20150827 20150924
南徳和 ,旧松阪市,月 木,金,20150204 20150304 20150401 20150507 20150603 20150701 20150805 20150902,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
南虹が丘町 ,旧松阪市,火 金,水,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901,20150213 20150313 20150410 20150508 20150612 20150710 20150814 20150904
宮町,旧松阪市,月 木,水,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
萌木町,旧松阪市,月 木,金,20150219 20150311 20150408 20150516 20150613 20150711 20150805 20150912,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
本居町,旧松阪市,月 木,火,20150226 20150319 20150416 20150521 20150618 20150716 20150820 20150917,20150219 20150626 20150418 20150516 20150620 20150718 20150822 20150915
焼橋 ,旧松阪市,月 木,水,20150228 20150326 20150416 20150521 20150617 20150715 20150819 20150917,20150204 20150304 20150401 20150513 20150603 20150701 20150805 20150902
山下町 ,旧松阪市,月 木,金,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
山添町 ,旧松阪市,月 木,金,20150225 20150318 20150418 20150530 20150627 20150729 20150826 20150924,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
山室町,旧松阪市,月 木,水,20150228 20150326 20150416 20150521 20150617 20150715 20150819 20150917,金1
吉野町,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
吉野町の一部 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150221 20150328 20150415 20150527 20150617 20150715 20150819 20150916
猟師町 ,旧松阪市,火 金,水,20150203 20150303 20150407 20150512 20150602 20150707 20150804 20150901,20150218 20150317 20150414 20150519 20150609 20150714 20150811 20150908
レインボー田村 ,旧松阪市,月 木,水,20150228 20150326 20150422 20150527 20150624 20150722 20150822 20150916,金2
六呂木町 ,旧松阪市,月 木,水,20150228 20150326 20150422 20150527 20150624 20150722 20150822 20150916,20150225 20150318 20150422 20150523 20150624 20150722 20150826 20150930
若葉町 ,旧松阪市,火 金,水,20150206 20150306 20150402 20150501 20150604 20150702 20150806 20150903,20150206 20150306 20150403 20150501 20150605 20150703 20150807 20150911
和屋町 ,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
和屋団地,旧松阪市,月 木,水,20150221 20150314 20150411 20150523 20150620 20150718 20150815 20150919,20150218 20150311 20150408 20150520 20150610 20150708 20150812 20150909
